e1116w09,d0:50:99:71:7b:ef,129.130.11.170
e1116w10,d0:50:99:70:e5:de,129.130.11.171
e1116w11,d0:50:99:71:7b:a6,129.130.11.172
e1116w12,d0:50:99:71:7b:94,129.130.11.173
e1116w13,d0:50:99:70:e5:d7,129.130.11.174
e1116w14,d0:50:99:70:e5:af,129.130.11.175
e1116w15,d0:50:99:71:7b:8d,129.130.11.176
e1116w16,d0:50:99:71:7b:cd,129.130.11.177
e1116w17,d0:50:99:83:09:f2,129.130.11.178
e1116w18,d0:50:99:71:7b:48,129.130.11.179
e1116w19,d0:50:99:70:e5:ab,129.130.11.180
e1116w20,d0:50:99:70:e5:8f,129.130.11.181
e1116w21,d0:50:99:77:83:e0,129.130.11.182
e1116w22,d0:50:99:71:7b:d1,129.130.11.183
e1116w23,d0:50:99:70:e5:fd,129.130.11.184
e1116w24,d0:50:99:77:83:bd,129.130.11.185
n126w01,b8:ae:ed:75:7d:97,129.130.11.190
n126w02,b8:ae:ed:75:f8:f0,129.130.11.191
n126w03,b8:ae:ed:75:e1:de,129.130.11.192
n126w04,b8:ae:ed:75:e7:dd,129.130.11.193
n126w05,b8:ae:ed:75:fd:9c,129.130.11.194
n126w06,b8:ae:ed:75:f8:f6,129.130.11.195
n126w07,b8:ae:ed:75:f9:0a,129.130.11.196
n126w08,b8:ae:ed:75:f8:f1,129.130.11.197
